Team ,W,L,Pts For ,Pts Agnst ,Average
Karachi Kings,6,2,777.20,679.80,97.15
Backfields and McCoys,5,3,843.90,686.90,105.49
Jensen,5,3,786.30,732.20,98.29
Subbaiah,5,3,760.10,694.00,95.01
Magic Gronk Shell,5,3,804.30,754.70,100.54
Team 4 - Chai,5,3,757.10,677.10,94.64
Cam's Cooking,4,4,684.80,638.70,85.60
Team Gottam,4,4,650.70,709.40,81.34
Dumpster Fire,1,7,577.50,877.70,72.19
Myles away from the Chip,0,8,600.10,791.40,75.01
